Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-ES784;CH1903+ / LV95;2691286.599;1191537.582;01.01.1950 00:00;457;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES785;CH1903+ / LV95;2691889.618;1192308.603;01.01.1950 00:00;473;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES786;CH1903+ / LV95;2692635.632;1192300.616;01.01.1950 00:00;501.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES788;CH1903+ / LV95;2691125.607;1192600.594;01.01.1950 00:00;450.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES789;CH1903+ / LV95;2691837.618;1192399.603;01.01.1950 00:00;468.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES790;CH1903+ / LV95;2691369.602;1191761.583;01.01.1950 00:00;457.1;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES791;CH1903+ / LV95;2690658.617;1194076.613;01.01.1950 00:00;436.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES792;CH1903+ / LV95;2690295.607;1193274.61;01.01.1950 00:00;439;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES793;CH1903+ / LV95;2692255.625;1192346.61;01.01.1950 00:00;485;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES794;CH1903+ / LV95;2691025.61;1192996.599;01.01.1950 00:00;444.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES795;CH1903+ / LV95;2691371.621;1193337.612;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-OG601;CH1903+ / LV95;2691895.617;1195984.664;01.01.1950 00:00;1260;Landesnivellementnetz 1902;;104621;Axen
UR1201-PB001;CH1903+ / LV95;2690348.617;1194319.619;01.01.1950 00:00;435.51;Landesnivellementnetz 1902;;104621;Axen
UR1201-PB002;CH1903+ / LV95;2689858.613;1194287.625;01.01.1950 00:00;435.49;Landesnivellementnetz 1902;;104621;Axen
UR1201-PB003;CH1903+ / LV95;2690700.619;1194205.615;01.01.1950 00:00;436.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-PB004;CH1903+ / LV95;2690641.617;1194142.614;01.01.1950 00:00;436.72;Landesnivellementnetz 1902;;104621;Axen
